"detail_link","map-infowindow__heading","map-infowindow__summary","card__address","card__address 2","card__phone"
"https://www.visitpittsburgh.com/directory/bigham-tavern/","Bigham Tavern","A welcoming extension of home that people yearn for in their neighborhood bar. We welcome families, neighbors, and friends to come hang, chow down …","321 Bigham St.","Pittsburgh, Pennsylvania 15211","(412) 431-9313"
"https://www.visitpittsburgh.com/directory/all-india-authentic-cuisine/","All India Authentic Cuisine","All India Restaurant serves the best Indian food that is amazing in taste and quality. We are the best choice for anyone looking for a go-to spot …","315 N. Craig St.","Pittsburgh, Pennsylvania 15213","(412) 681-6600"
"https://www.visitpittsburgh.com/directory/eatn-park-penn-hils/","Eat'n Park - Penn Hils","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","11746 Frankstown Rd.",", Pennsylvania 15235","(412) 242-3700"
"https://www.visitpittsburgh.com/directory/eatn-park-moon-twp/","Eat'n Park - Moon Twp","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","9516 University Blvd.","Moon Township, PA 15108, Pennsylvania 15108","(412) 264-7201"
"https://www.visitpittsburgh.com/directory/eatn-park-etna/","Eat'n Park - Etna","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","830 Butler Street","Pittsburgh, Pennsylvania 15223","(412) 487-4870"
"https://www.visitpittsburgh.com/directory/eatn-park-banksville/","Eat'n Park - Banksville","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","1300 Banksville Rd.","Pittsburgh, Pennsylvania 15216","(412) 561-7894"
"https://www.visitpittsburgh.com/directory/eatn-park-north-versailles/","Eat'n Park - North Versailles","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","516 Lincoln Hwy","North Versailles, Pennsylvania 15137","(412) 816-2006"
"https://www.visitpittsburgh.com/directory/ditkas-of-pittsburgh/","Ditka's of Pittsburgh","Ditka’s Pittsburgh, founded by legendary coach Mike Ditka, offers a refined steakhouse experience that blends award-winning cuisine with genuine …","1 Robinson Plaza Bldg., 1st Floor","Pittsburgh, Pennsylvania 15205","(412) 722-1555"
"https://www.visitpittsburgh.com/directory/eatn-park-edgewood/","Eat'n Park - Edgewood","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","1605 S. Braddock Ave","Pittsburgh, Pennsylvania 15218","(412) 243-5530"
"https://www.visitpittsburgh.com/directory/eatn-park-mckeesport/","Eat'n Park - McKeesport","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","805 Lysle Blvd","McKeesport, Pennsylvania 15132","(412) 644-9148"
"https://www.visitpittsburgh.com/directory/eatn-park-library-rd/","Eat'n Park - Library Rd.","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","5220 Library Rd.","Bethel Park, Pennsylvania 15102","(412) 835-4011"
"https://www.visitpittsburgh.com/directory/eatn-park-dormont/","Eat'n Park - Dormont","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","2874 West Liberty Ave","Pittsburgh, Pennsylvania 16216","(412) 561-4944"
"https://www.visitpittsburgh.com/directory/eatn-park-mcknight/","Eat'n Park - McKnight","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","7370 McKnight Rd.","Pittsburgh, Pennsylvania 15237","(412) 366-6220"
"https://www.visitpittsburgh.com/directory/eatn-park-south-hills/","Eat'n Park - South Hills","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","301 South Hills Village",", Pennsylvania 15241","(412) 854-4855"
"https://www.visitpittsburgh.com/directory/eatn-park-robinson/","Eat'n Park - Robinson","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","100 Park Manor Dr.","Pittsburgh, Pennsylvania 15205","(412) 787-8556"
"https://www.visitpittsburgh.com/directory/eatn-park-monroeville/","Eat'n Park - Monroeville","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","2987 Monroeville Blvd.","Monroeville, Pennsylvania 15146","(412) 373-8760"
"https://www.visitpittsburgh.com/directory/eatn-park-mckees-rocks/","Eat'n Park - McKees Rocks","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","300 Chartiers Ave",", Pennsylvania 15136","(412) 331-2881"
"https://www.visitpittsburgh.com/directory/dee-jays-bbq-ribs-grille/","Dee Jay's BBQ Ribs & Grille","Dee Jay's BBQ Ribs & Grille originated in Weirton, W.V., and became a local staple restaurant known for its legendary BBQ ribs and extraordinary …","2602 Brandt School Rd.","Wexford, Pennsylvania 15090","724-488-RIBS"
"https://www.visitpittsburgh.com/directory/dibellas-subs/","DiBella's Subs","DiBella's makes subs like nobody's business, with our own crusty-soft, just-baked bread and tons of meats, cheese and toppings! Our dough is …","16 Market St.","Pittsburgh, Pennsylvania 15222","(412) 338-8634"
"https://www.visitpittsburgh.com/directory/eatn-park-sewickley/","Eat'n Park - Sewickley","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","201 Ohio River Blvd.","Sewickley, Pennsylvania 15143","(412) 741-4650"
"https://www.visitpittsburgh.com/directory/doce-taqueria/","Doce Taqueria","Pittsburgh's favorite taco shop! Located in the heart of the South Side. Serving up authentic tacos until 3 a.m. Fridays and Saturdays.","1302 E. Carson St.","Pittsburgh, Pennsylvania 15203","(412) 238-8518"
"https://www.visitpittsburgh.com/directory/eatn-park-waterworks/","Eat'n Park -  Waterworks","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","449 Freeport Rd.","Pittsburgh, Pennsylvania 15238","(412) 782-5550"
"https://www.visitpittsburgh.com/directory/eatn-park-bridgeville/","Eat'n Park - Bridgeville","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","1197 Washington Pk.","Bridgeville, Pennsylvania 15017","(412) 221-8800"
"https://www.visitpittsburgh.com/directory/eatn-park-avalon/","Eat'n Park - Avalon","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","1002 Ohio River Blvd.","Pittsburgh, Pennsylvania 15202","(412) 766-6764"
"https://www.visitpittsburgh.com/directory/the-eagle-food-beer-hall/","The Eagle Food & Beer Hall","The Eagle is a restaurant and bar that celebrates straightforward American fare in Pittsburgh. With the Blues playing in the background, we serve …","737 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 688-6350"
"https://www.visitpittsburgh.com/directory/del-friscos-double-eagle-steakhouse/","Del Frisco's Double Eagle Steakhouse","Del Frisco's Double Eagle Steakhouse if located downtown in Pittsburgh's iconic Union Trust Building. In the City of Champions, located just …","455 Fifth Ave., Union Trust Bldg.","Pittsburgh, Pennsylvania 15219","(412) 240-6140"
"https://www.visitpittsburgh.com/directory/eatn-park-hospitality-group/","Eat'n Park Hospitality Group","Portfolio of regional food service concepts focused on personalized dining that serves more than 50 million guests yearly in our restaurants and on …","285 E. Waterfront Dr.","Pittsburgh, Pennsylvania 15120","(412) 461-2000"
"https://www.visitpittsburgh.com/directory/fl2/","fl.2","meet me on fl.2The newest restaurant concept from Fairmont Pittsburgh has arrived. fl.2 is the balance of vibrant and inviting elements designed to …","510 Market St., Fairmont Pittsburgh","Pittsburgh, Pennsylvania 15222","(412) 773-8848"
"https://www.visitpittsburgh.com/directory/gather-restaurant-bar/","Gather Restaurant & Bar","Gather Restaurant and Bar located inside the completely transformed Crowne Plaza Hotel and Suites Pittsburgh South serves craft beers, …","164 Fort Couch Rd., Crowne Plaza Pittsburgh South","Pittsburgh, Pennsylvania 15241","(412) 833-5300"
"https://www.visitpittsburgh.com/directory/elevation/","Elevation","Elevation is the Embassy Suites' featured restaurant located on the 25th floor of the historic Oliver Building. The menu offers guests American …","Embassy Suites by Hilton Pittsburgh-Downtown, 535 Smithfield St.","Pittsburgh, Pennsylvania 15222","(412) 338-2200"
"https://www.visitpittsburgh.com/directory/the-factory-south-shore/","The Factory South Shore","Gather with friends or colleagues at The Factory South Shore to enjoy a sophisticated yet relaxed environment while dining with a view.","Sheraton Pittsburgh Hotel at Station Square, 300 West Station Square Dr.","Pittsburgh, Pennsylvania 15219","(412) 803-3838"
"https://www.visitpittsburgh.com/directory/eleven-contemporary-kitchen/","ELEVEN Contemporary Kitchen","ELEVEN, where Downtown meets the Strip, is the most innovative restaurant from the big Burrito Restaurant Group. Contemporary American flavors are …","1150 Smallman St.","Pittsburgh, Pennsylvania 15222","(412) 201-5656"
"https://www.visitpittsburgh.com/directory/eatn-park-waterfont/","Eat'n Park - Waterfont","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","245 E. Waterfront Dr.","Homestead, Pennsylvania 15120","(412) 464-7275"
"https://www.visitpittsburgh.com/directory/ember-vine-woodfire-oven-and-social-bar/","Ember & Vine Woodfire Oven and Social Bar","The menus take a simple approach with strong components; salt, pepper and fire, coupled with carefully selected local ingredients, are the focal …","DoubleTree by Hilton Pittsburgh Cranberry, 910 Sheraton Dr.","Cranberry Township, Pennsylvania 16046","(724) 778-4177"
"https://www.visitpittsburgh.com/directory/elia-estiatorio/","ELIA estiatorio","Discover an elevated culinary experience with vibrant Mediterranean flavors and warm hospitality. Elia is expected to open in Fifth Avenue Place …","120 Fifth Ave., Fifth Avenue Place","Pittsburgh, Pennsylvania 15222",""
"https://www.visitpittsburgh.com/directory/ephesus-mediterranean-restaurant/","Ephesus Mediterranean Restaurant","We opened this restaurant as a way to bring the delicious flavors of our home in the Mediterranean region and combined them with the comforting …","219 Fourth Ave.","Pittsburgh, Pennsylvania 15222","(412) 552-9020"
"https://www.visitpittsburgh.com/directory/fogo-de-chao-brazilian-steakhouse/","Fogo de Chao Brazilian Steakhouse","Authentic Brazilian Steakhouse that began nearly 40 years ago in Brazil featuring fire-roasted meals carved tableside by gaucho chefs, a seasonal …","525 Smithfield St.","Pittsburgh, Pennsylvania 15222","(412) 312-5001"
"https://www.visitpittsburgh.com/directory/eatn-park-whitehall/","Eat'n Park Whitehall","Casual, neighborhood restaurant featuring a full breakfast, lunch and dinner menu plus a Soup and Salad bar and a Breakfast and Fruit buffet. Kids …","5100 Clairton Blvd.","Pittsburgh, Pennsylvania 15236","(412) 882-0258"
"https://www.visitpittsburgh.com/directory/eddie-vs-prime-seafood/","Eddie V's Prime Seafood","Eddie V’s is a fine dining restaurant specializing in seasonal prime seafood flown in daily from pristine waters from around the world and artfully …","501 Grant St., Ste. 100","Pittsburgh, Pennsylvania 15219","(412) 391-1714"
"https://www.visitpittsburgh.com/directory/the-foundry-table-tap/","The Foundry Table & Tap","No trip to Pittsburgh is complete without visiting The Foundry Table & Tap, the award-winning gastropub and new American restaurant on Pittsburgh’s …","381 North Shore Dr.","Pittsburgh, Pennsylvania 15212","(412) 930-0744"
"https://www.visitpittsburgh.com/directory/eliza-hot-metal-bistro/","Eliza Hot Metal Bistro","On the site of the former iconic iron works, Eliza Furnace. The South Side is emerging as a place to rediscover the dining scene. Hotel Indigo moves …","331 Technology Dr","Pittsburgh, Pennsylvania 15219","(412) 621-1551"
"https://www.visitpittsburgh.com/directory/giovannis-pizza-and-pasta/","Giovanni's Pizza and Pasta","Giovanni's on the 6th Street PGH is a family-owned pizza store with great food for more than 15 years! We offer late-night delivery and large …","123 6th St.","Pittsburgh, Pennsylvania 15222","(412) 281-7060"
"https://www.visitpittsburgh.com/directory/flipt-rivers-casino-pittsburgh/","FLIPT @ Rivers Casino Pittsburgh","This ""burger-mecca"" has high standards when it comes to premium-quality, fresh ingredients. FLIPT offers various gourmet burgers, french fries, …","777 Casino Dr.","Pittsburgh, Pennsylvania 15212","(412) 231-7777"
"https://www.visitpittsburgh.com/directory/grand-concourse-gandy-dancer-saloon/","Grand Concourse/Gandy Dancer Saloon","Housed in the beautifully preserved Pittsburgh & Lake Erie Railroad Station, the Grand Concourse restaurant at Station Square is a true testament of …","100 W. Station Square Dr.","Pittsburgh, Pennsylvania 15219","(412) 261-1717"
"https://www.visitpittsburgh.com/directory/enrico-biscotti/","Enrico Biscotti","Wander into a small bakery in Pittsburgh’s historic Strip District; you’ll find the aromas are intoxicating. We have all manner of traditional …","2022 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 281-2602"
"https://www.visitpittsburgh.com/directory/eddie-merlots-prime-aged-beef-and-seafood/","Eddie Merlot's Prime Aged Beef and Seafood","Eddie Merlot's is a place where hospitality and the comfort of our guests are our highest mission; we pledge to provide the finest personal …","444 Liberty Ave., Ste. 100, 4 Gateway Center","Pittsburgh, Pennsylvania 15222","(412) 235-7676"
"https://www.visitpittsburgh.com/directory/girasole-restaurant/","Girasole Restaurant","Touted as one of the best Italian restaurants in Pittsburgh, Girasole offers traditional and innovative cuisine. This charming family-owned …","733 Copeland St.","Pittsburgh, Pennsylvania 15232","(412) 682-2130"
"https://www.visitpittsburgh.com/directory/fish-nor-fowl/","Fish Nor Fowl","Fish nor Fowl offers a chic, Italian-influenced menu that celebrates beautiful ingredients, simply prepared to create an experience unlike any other …","5523 Penn Ave.","Pittsburgh, Pennsylvania 15206","(412) 460-4644"
"https://www.visitpittsburgh.com/directory/gi-jin/","Gi-Jin","Gi-Jin is an intimate sushi and spirits destination in the heart of Pittsburgh, celebrating the artistry of Japanese cuisine and drink. Our menu …","208 6th St.","Pittsburgh, Pennsylvania 15222","(412) 332-6939"
"https://www.visitpittsburgh.com/directory/jacksons-restaurant-bar/","Jacksons Restaurant + Bar","Neighborhood restaurant offering new American cuisine in a chic and welcoming atmosphere. Jacksons' smart casual dining features fresh, seasonal …","1000 Corporate Dr., Hilton Garden Inn Pittsburgh/Southpointe","Canonsburg, Pennsylvania 15317","(724) 743-5005"
"https://www.visitpittsburgh.com/directory/hofbr%C3%A4uhaus-pittsburgh/","Hofbräuhaus Pittsburgh","Hofbräuhaus Pittsburgh is a place where family and friends can enjoy great beer, great food and fun times every day. It starts with a wide selection …","2705 S. Water St.","Pittsburgh, Pennsylvania 15203","(412) 224-2328"
"https://www.visitpittsburgh.com/directory/greer-cabaret-theater-lounge/","Greer Cabaret Theater Lounge","The Greer Cabaret Theater, a project of the Pittsburgh Cultural Trust, is home to unforgettable artistic performances as well as upscale bistro fare …","655 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 325-6769"
"https://www.visitpittsburgh.com/directory/lautrec/","Lautrec","Lautrec is a multiple recipient of Pittsburgh Magazine's Top 25 Restaurants and offers cuisine and service as creative as the art of Toulouse …","1001 Lafayette Dr., Nemacolin","Farmington, Pennsylvania 15437","(866) 406-6957"
"https://www.visitpittsburgh.com/directory/hello-bistro/","Hello Bistro","A fast-casual restaurant where burgers and salads come together. Over 50 different ingredients and a host of house-made dressings can cater to any …","3605 Forbes Ave.","Pittsburgh, Pennsylvania 15213","(412) 687-8787"
"https://www.visitpittsburgh.com/directory/hyde-park-prime-steakhouse/","Hyde Park Prime Steakhouse","""Rated among America's Best"" - ""Zagat Guide Award of Excellence"" - Wine Spectator. Featuring large window views of the Downtown skyline and …","247 North Shore Dr.","Pittsburgh, Pennsylvania 15212","(412) 222-4014"
"https://www.visitpittsburgh.com/directory/hello-bistro-downtown/","Hello Bistro Downtown","A fast-casual restaurant where burgers and salads come together. Over 50 different ingredients and a host of house-made dressings can cater to any …","292 Forbes Ave.","Pittsburgh, Pennsylvania 15222","(412) 434-0100"
"https://www.visitpittsburgh.com/directory/mad-mex-north-hills/","Mad Mex North Hills","Funky Fresh Cal-Mex! Signature burritos, big margaritas, spicy wings and innovative vegetarian variations make for an extraordinary dining …","7905 McKnight Rd.","Pittsburgh, Pennsylvania 15237","(412) 366-5656"
"https://www.visitpittsburgh.com/directory/the-harmony-inn/","The Harmony Inn","Nestled in Harmony's National Historic District, The Harmony Inn offers a unique dining experience steeped in tradition and community. Owned by …","230 Mercer St.","Harmony, Pennsylvania 16037","(724) 452-5124"
"https://www.visitpittsburgh.com/directory/mad-mex-robinson/","Mad Mex Robinson","Funky Fresh Cal-Mex! Signature burritos, big margaritas, spicy wings and innovative vegetarian variations make for an extraordinary dining …","Route 60, Robinson Plaza II, Park Manor Dr.","Pittsburgh, Pennsylvania 15205","(412) 494-5656"
"https://www.visitpittsburgh.com/directory/jason-aldeans-kitchen-bar/","Jason Aldean's Kitchen & Bar","Pittsburgh's ultimate destination for great food, live music, and unforgettable experiences. Inspired by the country music star himself, this …","393 North Shore Dr.","Pittsburgh, Pennsylvania 15212","(412) 730-3078"
"https://www.visitpittsburgh.com/directory/live-fresh-juicery-regent-square/","Live Fresh Juicery Regent Square","Pittsburgh's fresh choice, Live Fresh Juicery, serves cold-pressed juices, smoothies, and bowls made with 100% real ingredients. Locally owned, …","1104 S. Braddock Ave.","Pittsburgh, Pennsylvania 15218","(412) 839-1155"
"https://www.visitpittsburgh.com/directory/la-feria-pamelas-peruvian-cousin/","La Feria - Pamela's Peruvian Cousin","Located above Pamela's Diner on Walnut Street, La Feria is Pamela's Peruvian cousin. Featuring traditional and fusion Latin American dishes. …","5527 Walnut St., (above Pamela's)","Pittsburgh, Pennsylvania 15232","(412) 682-4501"
"https://www.visitpittsburgh.com/directory/lawrence-hall/","Lawrence Hall","Come together. Lawrence Hall, located in Lawrenceville, is a dynamic food hall giving new life to an historic 1890s structure. We feature a variety …","4609 Butler St.","Pittsburgh, Pennsylvania 15201",""
"https://www.visitpittsburgh.com/directory/live-fresh-juicery-north-side/","Live Fresh Juicery North Side","Pittsburgh's fresh choice, Live Fresh Juicery, serves cold-pressed juices, smoothies, and bowls made with 100% real ingredients. Locally owned, …","845 Western Ave.","Pittsburgh, Pennsylvania 15233","(412) 742-4064"
"https://www.visitpittsburgh.com/directory/helens-restaurant-seven-springs/","Helen's Restaurant @ Seven Springs","Helen's Restaurant is the perfect place for a truly fine dining experience. Helen's continues the tradition of offering an upscale dining …","777 Waterwheel Dr., Seven Springs Mountain Resort","Seven Springs, Pennsylvania 15622","(814) 352-7777"
"https://www.visitpittsburgh.com/directory/la-gourmandine-llc/","La Gourmandine, LLC","La Gourmandine, an authentic traditional French bakery located in the heart of Pittsburgh. Owned by a French couple, whose philosophy is to recreate …","308 Forbes Ave.","Pittsburgh, Pennsylvania 15222","(412) 456-2727"
"https://www.visitpittsburgh.com/directory/live-fresh-juicery-downtown/","Live Fresh Juicery Downtown","Pittsburgh's fresh choice, Live Fresh Juicery, serves cold-pressed juices, smoothies, and bowls made with 100% real ingredients. Locally owned, …","120 Fifth Ave.","Pittsburgh, Pennsylvania 15222","(412) 291-8125"
"https://www.visitpittsburgh.com/directory/mad-mex-south-hills/","Mad Mex South Hills","Funky Fresh Cal-Mex! Signature burritos, big margaritas, spicy wings and innovative vegetarian variations make for an extraordinary dining …","2101 Greentree Rd., Scott Town Centre","Pittsburgh, Pennsylvania 15220","(412) 279-0200"
"https://www.visitpittsburgh.com/directory/jimmy-johns/","Jimmy John's","Cuisine: Deli Style/Gourmet SandwichesCapacity: 36","502 Liberty Ave.","Pittsburgh, Pennsylvania 15222","(412) 697-0999"
"https://www.visitpittsburgh.com/directory/kaya/","Kaya","Serving traditional island dishes and American favorites with an island twist. Tropical tapas and entrees are all made with local ingredients. Menu …","2000 Smallman St.","Pittsburgh, Pennsylvania 15219","(412) 261-6565"
"https://www.visitpittsburgh.com/directory/hyeholde-dining-nightlife/","Hyeholde","Established in 1937, Hyeholde is a historic Pittsburgh treasure offering farm-to-table dining in an enchanting Tudor mansion. Surrounded by lush …","1516 Coraopolis Heights Rd.","Moon Township, Pennsylvania 15108","(412) 264-3116"
"https://www.visitpittsburgh.com/directory/hula-bar-grill/","HULA Bar & Grill","HULA Bar & Grill is a tropical hidden gem between Oakmont and Verona, blending vibrant murals with a laid-back island vibe. Famous for juicy …","759 East Railroad Ave.","Verona, Pennsylvania 15147","(412) 828-6919"
"https://www.visitpittsburgh.com/directory/lemont-restaurant/","LeMont Restaurant","LeMont on Grandview Avenue on Mt. Washington is a Pittsburgh landmark with the premier view of Pittsburgh. LeMont is open Tuesday - Saturday at 5:00 …","1114 Grandview Ave.","Pittsburgh, Pennsylvania 15211","(412) 431-3100"
"https://www.visitpittsburgh.com/directory/the-pa-market/","The PA Market","The PA Market is a unique upscale food hall in the heart of the Strip district. Our 14,000 square foot space features beautiful, relaxing atmosphere …","108 19th St.","Pittsburgh, Pennsylvania 15222","(412) 904-1332"
