fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Penny Arcade,"Second Saturday of every month, 2-3:30 p.m. Continues through Aug. 8",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh",Downtown,$12.00,Comedy,"Arcade Comedy Theater presents Penny Arcade, an interactive comedy experience ideal for kids 4 to 8 years old! This 60-minute show encourages children and their parents to unleash their imaginations and sense of humor. Penny Arcade fosters collaboration, listening skills, and silliness for everyone at any age through a hands-on approach to theater. Whether your child is a natural performer or a thoughtful observer, the show adapts to each individual, giving everyone a unique and hilarious experience they'll talk about for a long time! Penny Arcade is a fun and innovative show you won't find anywhere else in the city.
          
        
          
            (412) 339-0608"
SECOND SATURDAYS at The Space Upstairs,"Second Saturday of every month, 9-11 p.m. Continues through April 11",The Space Upstairs,"214 N. Lexington St., Pittsburgh",Point Breeze,$15,Jazz,"SECOND SATURDAYS
The signature monthly happening at The Space Upstairs (since 2007) where the music and the dance meet in the jazz, featuring live jazz by some of Pittsburgh's most compelling artists and improvised dance by The Pillow Project.
          
        
          
            4122259269"
Eternal Beauty,"Fri., March 20, 7:30 p.m., Sat., March 21, 7:30 p.m. and Sun., March 22, 2:30 p.m.",New Hazlett Theater,"6 Allegheny Square E, Pittsburgh",North Side,$25-$35,Dance,"As we close our milestone 15th season, ""Eternal Beauty"" is both a celebration and a reflection—a look back at the artistry that has shaped us, and a hopeful gaze toward the creativity that lies ahead. This final program embodies what Texture does best: bringing contemporary ballet to life with passion, imagination, and deep emotional resonance.
          
        
          
            412-320-4610"
Live Wire - The Premier Mötley Crüe Tribute,"Sat., March 21, 8-11 p.m.",The Tonidale Pub,"7001 Steubenville Pike, Oakdale",Oakland,$12.00,Other Music,"The Tonidale Pub and Encore Concerts proudly present Live Wire - The Premier Mötley Crüe Tribute - live in concert on Saturday, March 21, 2026. Event entry begins at 6:30 PM and the show will begin at 8:00 PM. Advance tickets are available now at Etix.com or via the link on this listing. Any remaining tickets will be available for purchase at the door on the day of the show, beginning at the time of entry. Cash and most electronic forms of payment are accepted at this venue. Seating is available on a first-come, first-served basis beginning at the time
          
        
          
            412-230-2000"
ELMO’S GOT THE MOVES,"Thu., March 26, 6-7:30 p.m.",The Palace Theatre,"21 W. Otterman St, Greensburg",Greensburg,Starting Prices: $45 | $55 | $65 | $75 | $90,Kidstuff,"This exciting show will have kids and parents alike out of their seats and moving and dancing along with Elmo and his Sesame Street friends as they dance, stretch, and play along to fan-favorite songs, including “Sunny Days,” “Elmo’s Got the Moves,” and “Letter of the Day.”
          
        
          
            724-836-8000"
Steeltown - Pittsburgh's Party Band,"Sat., March 28, 8-11 p.m.",The Tonidale Pub,"7001 Steubenville Pike, Oakdale",Oakland,$12.00,Other Music,"The Tonidale Pub and Encore Concerts proudly present Steeltown - Pittsburgh's Party Band - live in concert on Saturday, March 28, 2026. Event entry begins at 6:30 PM and the show will begin at 8:00 PM. Advance tickets are available now at Etix.com or via the link on this listing. Any remaining tickets will be available for purchase at the door on the day of the show, beginning at the time of entry. Cash and most electronic forms of payment are accepted at this venue. Seating is available on a first-come, first-served basis beginning at the time of entry. No
          
        
          
            412-230-2000"
Chamber Music Pittsburgh Presents Juilliard String Quartet,"Mon., March 30, 7:30-9:45 p.m.",Carnegie Music Hall,"4400 Forbes Avenue, Pittsburgh",Oakland,$35-53,Classical,"Originally founded in 1946 and described by The Boston Globe as “the most important American quartet in history,” the ensemble engages deeply with the classics while embracing the mission of championing new works.

In a program spanning three centuries, including a new work written for the group in 2024, the Quartet will perform music of J.S. Bach, Benjamin Britten’s final string quartet, and the Mizrahi-American composer Michelle Barzel Ross’s “Birds on the Moon.” Concluding our celebration of American chamber music will be Antonin Dvořák’s beloved “American” Quintet, written during the composer’s stay in Spillville, IA.
          
        
          
            412-622-3131"
Coyote Island LIVE,"Thu., April 2, 8 p.m.",The Funhouse @ Mr. Smalls,"400 Lincoln Ave, Millvale",Millvale,$20.15,Indie,"Coyote Island is the musical vision of Maine-based producer, songwriter, and multi-instrumentalist Mike O’Hehir. Assembling a band of brothers, they have blended folk roots, reggae rhythms, and psychedelic indie, the band crafts music that feels like a sonic escape. 

From their breakout release “Here Before” to their latest album, Shadow Magic (2025), they’ve expanded their sound into deeper grooves and vivid storytelling—melding tropical textures, hypnotic beats, and a spirit of reflection. Described as both electric and transportive, Coyote Island’s live shows offer tropical psychedelia and a sonic vacation from the doldrums of existence.
          
        
          
            6034337465"
Song Shop Concert,"Sat., April 4, 12 p.m. and Sat., May 9, 12 p.m.",Bitz Opera Factory,"2425 LIBERTY AVE., Pittsburgh",Strip District,FREE,Opera,"Pittsburgh Opera’s free, informal Song Shop concerts feature the Resident Artists of Pittsburgh Opera. Beginning at 12:00 PM on selected Saturdays of each month, October 2025–May 2026, these one-hour performances are free, fun, and open to everyone. Guests are encouraged to bring a friend and bring a lunch. FRIENDS of Pittsburgh Opera provide a reception after each Song Shop concert. Themes vary from concert to concert.
          
        
          
            412-281-0912"
Falstaff,"Tue., April 28, 7 p.m., Fri., May 1, 7 p.m. and Sun., May 3, 3 p.m.",Benedum Center,"237 7th St., Pittsburgh",Downtown,,Opera,"Beloved buffoon Sir John Falstaff has fallen on hard times. But being a ladies’ man (or so he’d like to think), he drunkenly schemes to cash in on his wit and charm by wooing the wealthy wives of Windsor, Alice Ford and Meg Page. However, when these women uncover that he has sent them both identical love letters, they hatch a plan of their own to teach Falstaff a lesson he won’t soon forget!

The music matches the merriment and mischief of this madcap romp.
          
        
          
            412-281-0912"
CLE: Be Fruitful & Multiply? The Jewish Legal Approach to Procreation,"Thu., April 30",,,,,Lecture,"As birth rates decline across the Western world, governments are responding with a patchwork of policy incentives.

From parental leave and childcare subsidies to tax breaks and fertility support. But what role should the law play in encouraging procreation and how might Jewish tradition inform these choices? Join Rabbi Schiff in examining the ethical and legal dimensions of pro-natalist legislation through the lens of Jewish law.

Underwritten by the Alan Papernick Educational Institute Endowment Fund."
Speak,"Fri., May 1, 7:30-9:30 p.m., Sat., May 2, 7:30-9:30 p.m., Sun., May 3, 2:30-4:30 p.m., Fri., May 8, 7:30-9:30 p.m., Sat., May 9, 2:30-4:30 & 7:30-9:30 p.m. and Sun., May 10, 2:30-4:30 p.m.",New Hazlett Theater,"6 Allegheny Square E, Pittsburgh",North Side,$20-40,Theater,"A moving story about a teenage girl who uses art to find her voice and redefine her identity after trauma. The play is an empowering testament to resilience and finding one's voice and strength; it is a seminal performance not to be missed.
          
        
          
            724-773-0700"
Keynotes Music Competition 2026,"Sat., May 9, 8 a.m.-4 p.m.",Mt. Lebanon High School,"155 Cochran Rd., Mt. Lebanon",Mt. Lebanon,$ 40.00 application fee,Auditions,"Keynotes Music Scholarship Competition 2026

Keynotes is accepting applications for the 2026 Music Scholarship Competition (vocal and instrumental) which will be held May 9, 2026 at The Fine Arts Theater of Mt. Lebanon High School in Pittsburgh, Pennsylvania. Cash awards totaling more than $16,000.00 will be awarded. For an application, please call the scholarship chairman, Lori Walter at 412-260-6972 or email her at houdini5@hotmail.com.Online scholarship application is available at keynotesmusicscholarship.com. DEADLINE FOR APPLICATON is April 30, 2026. For further information, please visit us on our website at keynotesmusicscholarship.com or, on Facebook, at Keynotes Music Scholarship.
          
        
          
            412-260-6972"
Pride Movie Night,"Sat., June 20, 7-10 p.m.",Greensburg Garden & Civic Center,"951 Old Salem Road, Greensburg",Greensburg,free,Screen,"Kick off Pride Weekend with a cozy and inclusive night at the movies! Join us inside the Greensburg Garden & Civic Center Auditorium for a Pride-themed film screening—and you get to help choose the movie! We’ll be letting our followers vote on which Pride film to feature, so stay tuned for the official poll and announcement.

Before the film starts, browse Pride-friendly vendors and grab snacks or drinks from our on-site concessions. It’s a great way to connect with the community, support local businesses, and celebrate together.

🎬 Rent (2005)
Rating: PG-13
Runtime: 2h 15m
          
        
          
            724-836-1123"
CLE: Vaccinations & Public Health—The Jewish Perspective,"Thu., June 25, 8:30-10:45 a.m.",,,,,Lecture,"How does Jewish law approach public health in an age shaped by pandemics, medical innovation and urgent questions about collective responsibility?

From the ethics of vaccination to broader communal interventions, Jewish texts offer a deep and compelling framework for navigating today’s medical challenges. Led by Rabbi Schiff, take a journey into the heart of Jewish legal tradition to tackle the high-stakes questions that define our public health conversations today.

Underwritten by the Alan Papernick Educational Institute Endowment Fund."
FC BARCELONA SOCCER CAMP - PITTSBURG 2026,"June 29-July 3, 8 a.m.-2 p.m.",Pine Community Park,"230 Pearce Mill Rd., Wexford",Wexford,,Outside,"Use the code FCBPITTSBURGH50 to enjoy a $50 discount on your registration!

We will be hosting an FC Barcelona Soccer Camp in Pittsburg, PA, from June 29th to July 3rd. The camp will take place at Pine Park — Turf Fields, running from Monday to Friday from 8 AM to 2 PM.

5 days of training with official FC Barcelona coaches. Players will learn the same successful methodology where players such as Leo Messi, Sergio Busquets, Lamine Yamal, and Xavi Hernández emerged from."
SAVE THE DATE: Night in the Tropics,"Fri., July 17, 5-11 p.m.",National Aviary,"700 Arch Street, Pittsburgh",North Side,,Food & Drink Event,"Spend an evening on the North Shore during the National Aviary’s blockbuster 21+ party: Night in the Tropics.


All guests will experience one-of-a-kind meet-and-greets with Animal Ambassadors and after-hours access to the National Aviary’s lush habitats, where our experts will point out fan-favorite tropical species.

Upgrade for a first-class VIP experience, including early party access, FREE valet parking, exclusive Ambassador Animals and National Aviary experiences, full bar services with premium spirits, and more!

Stay tuned for up-to-the-minute details on live entertainment, Silent Auction and raffle prizes, and delectable restaurant additions for this top-shelf event!

Tickets coming soon!
          
        
          
            4122589445"
What's Your Story?,"Second and Fourth Monday of every month, 12:30-2:30 p.m.",Shaler North Hills Library,"1822 Mt. Royal Blvd., Glenshaw",Glenshaw,,Literary,"An adult writing group for light-hearted stories.
          
        
          
            412-486-0211"
German Conversation Club,"Second and Fourth Monday of every month, 6:30-7:30 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,412-622-3151
Young Professional Chess Club,"Fourth Monday of every month, 7 p.m.",Condado Lawrenceville,"4300 Butler St, Pittsburgh",Lawrenceville,,Games,"This will be a place to get in some over-the-board games with other young professionals, talk theory, and have a few drinks together. Whether you're a grandmaster or inspired to pick it up for the first time with its recent popularity all are welcome! Events will be will be at Condado in Lawrenceville. We may either be in the back room or the downstairs area. The person at the front will let you know if you can't find us.
          
        
          
            (412) 863-7630"
Storytelling @ Riley's,"Last Tuesday of every month, 8 p.m.",Riley's Pour House,"215 East Main Street, Carnegie",Carnegie,,Literary,"Story telling on a theme every month.
          
        
          
            412-279-0770"
Open Stage w/ Jess Klein,"Fourth Wednesday of every month, 7-11 p.m.",Full Pint Wild Side,"5310 Butler St, Pittsburgh",Lawrenceville,Free,Open Stage,"All musicians, poets, spoken word artists, rappers, and performers are welcome to share their talents in a non-judgmental, open-minded space.
          
        
          
            412-408-3083"
Pittsburgh Poetry Exchange,"Fourth Wednesday of every month, 7:30 p.m.",Coffee Tree Roasters,"5524 Walnut St., Pittsburgh",Shadyside,,Literary,"Book discussion hosted by the Pittsburgh Poetry Exchange. For this month's book, visit http://pghpoetryexchange.pghfree.net/workshops.shtml.
          
        
          
            412-928-9891"
Spanish Conversation Club,"Second and Fourth Thursday of every month, 6-7 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,412-622-3151
Board Games Night,"Fourth Thursday of every month, 6 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,412-622-3151
Tony Campbell and the Jazz Surgery,"Second and Fourth Thursday of every month, 8-11 p.m.",Dorothy Six Blast Furnace Cafe,"224 E 8th Ave., Pittsburgh",Homestead,$ 5.00 Cover,Open Stage,412-464-9023
African Dance Class,Second and Third Friday of every month and Fourth and Last Friday of every month,Irma Freeman Center for Imagination,"5006 Penn Ave., Pittsburgh",Garfield,,Other Stuff,412-924-0634
FREE COMEDY NIGHT,"Last Friday of every month, 8-10 p.m.","Fat Cat Eats, Drinks & Music","520 E Ohio St, Pittsburgh",North Side,FREE!,Comedy,"Come out for a bite to eat and some free laughs from some of the best local comedians at Fat Cat on East Ohio Street in the Northside.  Join us the last Friday of each month with James Phelps hosting a real treat of a troupe.  Located on the second floor in our event space, The Scratching Post. Ages 21+

Follow us @fatcatpgh to stay up on our upcoming events.
          
        
          
            4123210220"
Emotional Support America,"Fourth and Second Saturday of every month, 1:30 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood",Edgewood,,Other Stuff,412-731-0909
"""Last Saturday"" - Live Painting & DJ Party","Last Saturday of every month, 9 p.m.-2 a.m.",Redfishbowl,"4327 Butler St, Pittsburgh",Lawrenceville,$5,DJs,"""Last Saturday"" - Live Painting & DJ Party! Join The Endonaut Gallery and Redfishbowl Studios for a night of music and art!
***Also, the Closing for the ""Connecting with Nature"" show will be going on during the event!***

LIVE PAINTERS:
*Crystal Flora
*Nikki Pena
*Dante Campudoni

MUSIC:
*DJ Wabi Sabi
*DJ Abnormal

HOSTS:
@endonautgallery
@redfishbowl
@diverse_medium
          
        
          
            412-443-0606"
Pop Punk Night,"Last Saturday of every month, 10 p.m.-2 a.m.",Smiling Moose,"1306 E. Carson Street, Pittsburgh",South Side,Free.,DJs,412-439-5706
Everything Goes! Variety Brunch,"First Sunday of every month, 11 a.m.-1 p.m.",The Bridge Music Bar,"6018 Broad Street, Pittsburgh",East Liberty,$20,Burlesque,"The Velvet Hearts! and The Bridge Music Bar are pleased to present a monthly burlesque variety brunch - EVERYTHING GOES! The variety show brunch will take place the first Sunday of every month, show beginning at 12:00 PM / doors at 11:00 AM. Tables and bar seats are $20 a seat (tables sold as full tables).

Show will include sizzling hot and nutritious performances, along with hearty yet zany crowd interaction! The show is a bit spicy, so 21+ recommended.

Brunch and regular menu available (priced separately).
          
        
          
            412-404-2216"
Content Writing Service | Affordable Price  | Cheap Content Writers,"First Monday-Sunday of every month, 12 p.m.",Pittsburgh Writing Exchange,"321 S. Graham St, Pittsburgh",Friendship,,Community,"I am professional content writer with 5 years experience working currently with content writing service.
Welcome to content writing service one of the best custom paper writing services on the web.
For several years content writing service has been providing high-quality Article Writing Services
We specialize in preparing Article Writing Services, Blog Writing Services, SEO Writing Services,Social Media Writing
Services,Guest Post Writing Services and Product Description Writing on a wide variety of Content.
 Each of our Content is 100% original and quality assured.
Get high quality content writing services for really affordable price. Hire the best USA 
Content Writers With"
Poetry & Pints,"First Monday of every month, 6-8 p.m.",Burgh'ers,"3601 Butler St., Pittsburgh",Lawrenceville,,Literary,"Free monthly open mic poetry event at a great local brewery!  Burgh'ers Brewing in Lawrenceville! Share original work, cover favorites. First-time readers encouraged! Show up, sign up, come when you can, leave when you must.  Simple! Program partner of the Pittsburgh Poetry Collective.
          
        
          
            412-440-7638"
StorySwap,"First Monday of every month, 7 p.m.",Northland Public Library,"300 Cumberland Rd., McCandless",McCandless,,Literary,"An open forum to swap stories.
          
        
          
            412-366-8100"
Traditional Irish Session Music,"First Monday of every month, 7:30 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh",Greenfield,Free,Acoustic,"Welcome to all skill levels.
          
        
          
            412-315-7029"
Kid's Books for Grown-Ups Bookclub,"First Tuesday of every month, 10 a.m.",Penguin Bookshop,"417 ½ Beaver St., Sewickley",Sewickley,,Literary,412-741-3838
Cayuga Centers Treatment Foster Care Information Session,"First Tuesday of every month, 6-6:30 p.m.",,,,FREE,Community,"Join us for an online information session about Cayuga Centers Treatment Foster Care program in Pittsburgh! Whether you're considering becoming a foster parent or just want to learn more, this event is for you. Our team of experts will provide valuable insights and answer all your questions. Discover how you can make a difference in the lives of children in need. Don't miss out on this opportunity to be part of something incredible! Learn more at https://cayugacenters.org/pittsburgh/
          
        
          
            (412)-308-9585"
Aria412,"First Tuesday of every month, 7-9 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh",East Liberty,Free,Opera,"Aria412 is the brainchild of Kelly Lynch and Desiree Soteres.The first Tuesday of each month we bring together some of Pittsburgh's brightest singing talent on themes designed to welcome a broad audience to multiple musical traditions across opera, art songs, musical theater,
and the occasional pop or rock tribute.
          
        
          
            412-665-0555"
PGH Self-Inquiry Group Session,First and Third Wednesday of every month,Friends Meeting House,"4836 Ellsworth Ave., Pittsburgh",Oakland,,Other Stuff,"Discussion & group confrontation based on teachings of Ramana Maharshi, Nisargadatta, Richard Rose & others.
          
        
          
            412-683-2669"
Spanish II,"First and Third Wednesday of every month, 6:30-7:30 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,"Geared toward those who already have a basic understanding of Spanish & are interested in increasing proficiency.
          
        
          
            412-622-3151"
Knit Pit Yarn Club,"First Wednesday of every month, 6:30-9 p.m.",Eleventh Hour Brewing Co,"3711 Charlotte Street, Pittsburgh",Lawrenceville,Attendance is Free,Visual Art,"Welcome to Knit PIT Yarn Club, a meetup for knitters of all levels! Tap into your creativity and have fun while crafting with others. Join us to learn new skills, share patterns, and make friends. Whether you're knitting your first scarf or your 25th sweater, you'll find inspiration, laughter, and good vibes. Come enjoy the crafty chaos — knitting is about the journey, not just the finished piece! We meet at Eleventh Hour Brewing on the first Wednesday of each month. We also offer workshops, lessons, and kits.
          
        
          
            (412)699-4074"
The Bo'Hog Brothers,"First Wednesday of every month, 7 p.m.",Keystone Bar,"210 First St., Ellwood City",Sewickley,,Rock,724-758-4217
Pub Quiz,"First and Third Wednesday of every month, 7-9 p.m.",East End Brewing Company,"147 Julius St., Pittsburgh",Larimer,,Other Stuff,"Hosted by Drew Cranisky.
          
        
          
            412-537-2337"
Bienvenido: Have Fun While You Speak Spanish,"First and Third Wednesday of every month, 7 p.m.",Mount Lebanon Public Library,"16 Castle Shannon Boulevard, Mt. Lebanon",Mt. Lebanon,,Other Stuff,"Practice your Spanish in an informal setting.
          
        
          
            412-531-1912"
Nasty Slam,"First Wednesday of every month, 10-11:45 p.m.",Spirit Hall & Lodge,"242 51st St., Pittsburgh",Lawrenceville,"$10 to watch, $10 to play",Literary,"Cheer on local writers during the latest Nasty Slam, a live poetry contest at Spirit where the winner is determined by audience applause. Bring three poems, your friends, and a willingness to fight dirty with your most ill-mannered, aggressive, take-no-prisoners attitude. The triumphant will take home a $200 cash prize and the prestige of being one of Pittsburgh’s nastiest poets.
          
        
          
            412-586-4441"
Intuitive Friday Nights,"First Thursday of every month, 5-8:30 p.m.",Christine Frechard Gallery,"5126 Butler st., Pittsburgh",Lawrenceville,,Community,"The Christine Frechard Gallery presents: Intuitive Fridays, offering Tarot, Pendulum and Palm readings. We also offer Reflexology, Reiki, and Intuitive Coaching. Walk-ins are welcome, but calling ahead is recommended..5126 Butler St. Lawrenceville, 15201. 724.766.0104....See you there!
          
        
          
            724.766.0104 or 412.965.0435"
Cats and Drafts,"First Thursday of every month, 6:30-8:30 p.m.",Bierport,"4115 Butler St, Pittsburgh",Lawrenceville,PAYG,Fundraisers,"The best day of the month! Need a pick me up to help propel you through the rest of the week? Come snuggle an adoptable cat from Trash Cat Rescue! Our volunteers will be present from 6:30-8pm in the taproom with one of our (MANY) adoptable cats, selling merch and accepting donations!
Check out all of our adoptable cats and how to get involved on our website: https://trashcatrescue.org/
          
        
          
            412-904-4248"
Bereavement Support Group,"First Thursday of every month, 7 p.m.",Baldwin Community United Methodist Church,"5001 Baptist Road, Pittsburgh",Overbrook,,Other Stuff,412-572-8829
Yacht Rock N’at,"First Thursday of every month, 7-11 p.m.",The Warren Bar & Burrow,"245 7th St, Pittsburgh",Downtown,FREE,DJs,"Every first Thursday for the last 3 years, Yacht Rock N’at has been providing a soundtrack of smooth bar grooves and laid back jams to usher you into the weekend. Forgotten classics and unearthed gems. Some call it a vibe, while others have no idea what Yacht Rock is. It’s FREE & FOR ALL. Pull up a stool, order a yachtrocktail and let that soft rock soothe your hard times. Sounds from Jarrett Tebbets (Hot Mass, Spaghetti Disco)
          
        
          
            (412) 201-5888"
West Deer Bluegrass Review,"First Thursday of every month, 7:30 p.m.",Elwood's Pub,"163 Little Deer Creek Rd, Rural Ridge",Tarentum,,Acoustic,724-265-1181
Daryl Shawn plays world-influenced guitar at Scratch,"First Thursday of every month, 8-10 p.m.",Scratch Food & Beverage,"1720 Lowrie St., Pittsburgh",Troy Hill,Free,World,"Oft-touring acoustic guitarist Daryl Shawn appears in Troy Hill at Scratch Food & Beverage on the first Thursday of every month. Scratch is located at 1720 Lowrie St. in Pittsburgh. The performance begins at 8:00 p.m. Admission is free, and admission is limited to those 21 and over.
  
An alumnus of Boston's esteemed Berklee College of Music, Shawn creates the sound of a full band as he puts his own uniquely improvisational spin on familiar tunes, as well as his own original songs with influences from flamenco to African music.
          
        
          
            412-251-0822"
Adoption Event!,"First Saturday of every month, 10 a.m.-4 p.m.",Petco Pleasant Hills,"251 Clairton Blvd, Pittsburgh",Pleasant Hills,,Fundraisers,"Trash Cat Rescue and Paws Across Pittsburgh are partnering with Petco Pleasant Hills for a monthly adoption event! Meet adoptable cats and dogs, talk to volunteers, get food and drinks from local food trucks, and shop with local vendors! Check our social media pages for new vendors announced monthly.
          
        
          
            (412) 650-0175"
Noche Latina-First Saturday,"First Saturday of every month, 12:15 p.m.-1:30 a.m.",Los Sabrosos Dance Co.,"4909 Penn Ave., Pittsburgh",Bloomfield,$15,Dance,"Dance the night away to Salsa, Bachata, Zouk, Kizomba, & more!

Every First and Third Saturday of the Month!

9:15pm – Mini-Lesson
9:30pm – 1:00am DANCING!

Mini-Lesson + Social: $15
Only Social: $10

4909 Penn Ave
Pittsburgh, PA 15224

At the juncture of Lawrenceville, Garfield, & Friendship neighborhoods!
On the same side as UPMC Children’s Hospital.
Free parking on the street (Penn Ave) and all the neighborhood streets.

BYOA, alcohol only. Los Sabrosos Dance Co. has a cash bar with non-alcoholic beverages on the premises. Free water and cups available.
          
        
          
            4124650290"
Sean Mc + Dj Thermos,First and Third Saturday of every month,Belvederes,"4016 Butler Street, Pittsburgh",Lawrenceville,,DJs,"90s night.
          
        
          
            412-687-2555"
A Reverence for Life,First and Third Saturday of every month,Rachel Carson Homestead,"613 Marion Ave., Springdale",Springdale,,Exhibits,"Photos & artifacts of her life & work. Docent-led tours.
          
        
          
            724-274-5459"
BofA's Museums On Us® Offers Free Admission!,"First Saturday, Sunday of every month",Carnegie Museums of Pittsburgh,"4400 Forbes Ave, Pittsburgh",Oakland,Free,Visual Art,"WHAT: Bank of America, Merrill and Bank of America Private Bank cardholders can receive FREE general admission to Carnegie Museums of Art and Natural History and The Andy Warhol Museum cultural attractions Saturday and Sunday.

WHEN: Saturday, October 4th & Sunday, October 5th (+ the first full weekend of each month) 

WHERE: Learn something new this month with a visit to a participating cultural institution, including: 
-Carnegie Museums of Pittsburgh, 4400 Forbes Ave, Pittsburgh, PA 15213 
-The Andy Warhol Museum, 117 Sandusky St, Pittsburgh, PA 15212
          
        
          
            412.622.3314"
sean mc and dj thermos,First and Third Saturday of every month,Belvederes,"4016 Butler Street, Pittsburgh",Lawrenceville,,DJs,"90s dance party.
          
        
          
            412-687-2555"
FAT CAT ON WAX,"First Saturday of every month, 9 p.m.-1 a.m.","Fat Cat Eats, Drinks & Music","520 E Ohio St, Pittsburgh",North Side,FREE!,DJs,"The 4th monthly installment of all vinyl-house music mixes from Dave Clevr & Friends.  This month Clevr will be tag teaming with the one & only Tom Brown to take you on a journey through their combined decades of experience in the sound of true of house music.  Exploring the sounds of funk, soul & beyond.  Tell your friends & mark your calendars for the 1st Saturday each month.  Another one you do not want to miss!
          
        
          
            4123210220"
